Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Sepahan (C),34,18,12,4,56,29,+27,66,Qualification for the 2012 AFC Champions League group stage
2,Esteghlal,34,18,11,5,55,34,+21,65,Qualification for the 2012 AFC Champions League Qualifying play-off
3,Zob Ahan,34,18,9,7,49,31,+18,63,Qualification for the 2012 AFC Champions League Qualifying play-off
4,Persepolis,34,17,7,10,50,36,+14,58,Qualification for 2012 AFC Champions League group stage[a]
5,Tractor Sazi,34,15,12,7,42,29,+13,57,
6,Foolad,34,14,12,8,58,36,+22,54,
7,Mes,34,13,13,8,41,30,+11,52,
8,Malavan,34,13,9,12,33,32,+1,48,
9,Sanat Naft,34,13,3,18,36,54,−18,42,
10,Saba,34,9,14,11,39,40,−1,41,
11,Saipa,34,8,13,13,42,47,−5,37,
12,Shahrdari T.,34,8,13,13,45,53,−8,37,
13,Naft T.,34,7,15,12,38,44,−6,36,
14,Shahin B.,34,8,11,15,31,37,−6,35,
15,Rah Ahan,34,8,11,15,29,39,−10,35,
16,Pas H. (R),34,8,11,15,30,48,−18,35,Relegation to the 2011–12 Azadegan League
17,Paykan (R),34,9,6,19,38,60,−22,33,Relegation to the 2011–12 Azadegan League
18,Steel Azin (R),34,6,10,18,30,63,−33,28,Relegation to the 2011–12 Azadegan League
