Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Persepolis (C),26,13,10,3,36,23,+13,49,Qualification for the 2002–03 AFC Champions League group stage
2,Esteghlal,26,13,9,4,38,21,+17,48,Qualification for the 2002–03 AFC Champions League qualification
3,Foolad,26,12,9,5,32,23,+9,45,
4,Pas,26,10,13,3,39,24,+15,43,
5,Aboumoslem,26,11,7,8,40,31,+9,40,
6,Zob Ahan,26,10,9,7,35,30,+5,39,
7,Paykan,26,11,5,10,28,22,+6,38,
8,Bargh,26,9,10,7,28,25,+3,37,
9,Sepahan,26,7,11,8,22,22,0,32,
10,Fajr,26,6,9,11,15,20,−5,27,
11,Saipa,26,6,9,11,24,30,−6,27,
12,Malavan,26,6,9,11,20,36,−16,27,
13,Est. Rasht (R),26,3,7,16,18,44,−26,16,Relegation to the 2002–03 Azadegan League
14,Tractor Sazi (R),26,2,9,15,12,36,−24,15,Relegation to the 2002–03 Azadegan League
