Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Sepahan (C),34,19,10,5,67,30,+37,67,Qualification for the 2011 AFC Champions League
2,Zob Ahan,34,16,13,5,48,29,+19,61,Qualification for the 2011 AFC Champions League
3,Esteghlal,34,16,11,7,49,32,+17,59,Qualification for the 2011 AFC Champions League
4,Persepolis,34,13,14,7,46,40,+6,53,Qualification for the 2011 AFC Champions League
5,Steel Azin,34,13,13,8,55,49,+6,52,
6,Saba,34,13,9,12,52,45,+7,48,
7,Tractor Sazi,34,11,14,9,43,42,+1,47,
8,Saipa,34,12,10,12,48,53,−5,46,
9,Mes,34,11,9,14,55,56,−1,42,
10,Foolad,34,9,15,10,31,34,−3,42,
11,Paykan,34,9,14,11,40,44,−4,41,
12,Malavan,34,10,11,13,31,47,−16,41,
13,Shahin B.,34,9,12,13,37,37,0,39,
14,Rah Ahan,34,9,11,14,36,44,−8,38,
15,Pas Hamedan,34,9,11,14,36,44,−8,38,
16,Fajr (R),34,8,13,13,34,45,−11,37,Relegation to the 2010–11 Azadegan League
17,Aboumoslem (R),34,7,11,16,36,51,−15,32,Relegation to the 2010–11 Azadegan League
18,Est. Ahvaz (R),34,7,9,18,38,60,−22,30,Relegation to the 2010–11 Azadegan League
