Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Sepahan (C),34,19,10,5,54,27,+27,67,Qualification for the 2013 AFC Champions League group stage
2,Tractor Sazi,34,19,9,6,57,32,+25,66,Qualification for the 2013 AFC Champions League group stage
3,Esteghlal,34,19,9,6,58,34,+24,66,Qualification for the 2013 AFC Champions League group stage
4,Saba Qom,34,12,14,8,40,38,+2,50,Qualification for the 2013 AFC Champions League qualifying play-off
5,Naft Tehran,34,13,10,11,36,38,−2,49,
6,Rah Ahan,34,10,16,8,46,40,+6,46,
7,Zob Ahan,34,9,18,7,29,33,−4,45,
8,Saipa,34,10,13,11,50,39,+11,43,
9,Mes Kerman,34,11,10,13,35,39,−4,43,
10,Sanat Naft,34,11,10,13,49,57,−8,43,
11,Persepolis,34,10,12,12,50,54,−4,42,
12,Fajr Sepasi,34,10,11,13,31,38,−7,41,
13,Foolad,34,10,10,14,35,37,−2,40,
14,Malavan,34,9,12,13,32,33,−1,39,
15,Damash,34,9,12,13,32,41,−9,39,
16,Sh. Tabriz (R),34,6,16,12,34,44,−10,34,Relegation to 2012-13 Azadegan League
17,Shahin Bushehr (R),34,6,15,13,30,43,−13,33,Relegation to 2012-13 Azadegan League
18,Mes Sarcheshmeh (R),34,5,9,20,23,54,−31,24,Relegation to 2012-13 Azadegan League
