Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Esteghlal[a] (C),30,16,11,3,44,17,+27,59,
2,PAS Tehran,30,16,10,4,54,29,+25,58,
3,Saipa,30,13,13,4,41,21,+20,52,
4,Saba,30,13,11,6,35,31,+4,50,
5,Aboumoslem,30,12,10,8,31,23,+8,46,
6,Zob Ahan,30,12,10,8,41,30,+11,45[b],
7,Sepahan,30,12,7,11,38,32,+6,43,Qualification for the 2007 AFC Champions League[c]
8,Foolad,30,11,8,11,30,41,−11,41,
9,Fajr Sepasi,30,8,12,10,27,33,−6,36,
10,Malavan,30,10,6,14,29,38,−9,36,
11,Esteghlal Ahvaz,30,9,8,13,42,44,−2,35,
12,Rah Ahan,30,9,7,14,27,43,−16,34,
13,Persepolis,30,9,11,10,39,40,−1,32[d],
14,Bargh,30,6,10,14,23,37,−14,28,
15,Shamoushak (R),30,4,11,15,19,39,−20,23,Relegation to the 2006–07 Azadegan League
16,Shahid Ghandi (R),30,4,7,19,21,43,−22,19,Relegation to the 2006–07 Azadegan League
