Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Persepolis[a] (C),30,19,10,1,47,14,+33,67,
2,Sepahan,30,19,8,3,53,24,+29,65,Qualification for 2022 AFC Champions League group stage
3,Esteghlal[a],30,16,8,6,36,19,+17,56,
4,Tractor,30,12,9,9,35,29,+6,45,
5,Gol Gohar,30,13,6,11,33,32,+1,45,
6,Foolad,30,10,14,6,27,18,+9,44,Qualification for 2022 AFC Champions League group stage[b]
7,Paykan,30,9,13,8,32,30,+2,40,
8,Mes Rafsanjan,30,10,9,11,23,29,−6,39,
9,Padideh,30,10,8,12,27,31,−4,38,
10,Sanat Naft,30,9,10,11,24,29,−5,37,
11,Aluminium Arak,30,8,13,9,25,33,−8,37,
12,Nassaji Mazandaran,30,9,6,15,27,34,−7,33,
13,Naft Masjed Soleyman,30,7,10,13,21,29,−8,31,
14,Zob Ahan,30,5,11,14,28,39,−11,26,
15,Saipa (R),30,5,11,14,19,34,−15,26,Relegation to 2021–22 Azadegan League
16,Machine Sazi (R),30,2,8,20,19,52,−33,14,Relegation to 2021–22 Azadegan League
