Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Persepolis (C),34,18,11,5,55,34,+21,59[a],Qualification for the 2009 AFC Champions League
2,Sepahan,34,17,10,7,53,38,+15,58[b],Qualification for the 2009 AFC Champions League
3,Saba,34,13,13,8,41,37,+4,52,Qualification for the 2009 AFC Champions League
4,Aboumoslem,34,14,8,12,37,37,0,50,
5,Pas Hamedan,34,11,16,7,36,28,+8,49,
6,Zob Ahan,34,11,15,8,39,32,+7,48,
7,Bargh,34,11,14,9,43,47,−4,47,
8,Est. Ahvaz,34,11,13,10,61,51,+10,46,
9,Paykan,34,12,10,12,41,42,−1,46,
10,Mes,34,11,12,11,36,34,+2,45,
11,Saipa,34,12,9,13,33,35,−2,45,
12,Rah Ahan,34,11,11,12,45,40,+5,44,
13,Esteghlal,34,11,10,13,44,44,0,43,Qualification for 2009 AFC Champions League[c]
14,Fajr,34,9,15,10,37,41,−4,42,
15,Pegah,34,9,11,14,26,35,−9,38,
16,Malavan,34,8,12,14,32,41,−9,36,
17,Sanat Naft (R),34,9,8,17,37,46,−9,35,Relegation to the 2008–09 Azadegan League
18,Shirin Faraz (R),34,3,12,19,25,59,−34,21,Relegation to the 2008–09 Azadegan League
